Order ID,Order Date,Product Category,Product Name,Sales,Quantity,Region,Customer Segment,Profit,Discount
ORD054,2023-06-10,Electronics,Projector,680.00,1,South,Corporate,180.00,0.10
ORD055,2023-06-12,Furniture,Visitors Chair,165.00,4,East,Consumer,42.00,0.05
ORD056,2023-06-15,Office Supplies,Desk Lamp,42.00,3,West,Home Office,11.00,0.00
ORD057,2023-06-18,Electronics,Router,85.00,2,North,Consumer,22.00,0.05
ORD058,2023-06-20,Furniture,File Trolley,195.00,1,South,Home Office,50.00,0.05
ORD059,2023-06-23,Electronics,Graphics Tablet,240.00,1,East,Corporate,65.00,0.10
ORD060,2023-06-26,Office Supplies,Punch Machine,35.00,3,West,Consumer,9.00,0.00
ORD061,2023-07-01,Electronics,Smartphone,850.00,1,North,Consumer,220.00,0.15
ORD062,2023-07-04,Furniture,Reception Desk,1200.00,1,South,Corporate,320.00,0.15
ORD063,2023-07-07,Office Supplies,Storage Boxes,28.00,8,East,Home Office,7.50,0.00
ORD064,2023-07-10,Electronics,Monitor,340.00,2,West,Corporate,90.00,0.10
ORD065,2023-07-12,Furniture,Bar Stool,125.00,3,North,Consumer,32.00,0.05
ORD066,2023-07-15,Electronics,Power Bank,38.00,5,South,Home Office,10.00,0.00
ORD067,2023-07-18,Office Supplies,Adhesive Notes,12.00,10,East,Consumer,3.50,0.00
ORD068,2023-07-20,Furniture,Magazine Rack,75.00,2,West,Home Office,20.00,0.05
ORD069,2023-07-23,Electronics,Microphone,155.00,1,North,Corporate,42.00,0.10
ORD070,2023-07-26,Office Supplies,Correction Tape,6.00,12,South,Consumer,1.80,0.00
ORD071,2023-08-02,Electronics,Smart TV,1450.00,1,East,Consumer,380.00,0.20
ORD072,2023-08-05,Furniture,Recliner,680.00,1,West,Corporate,180.00,0.15
ORD073,2023-08-08,Office Supplies,Desk Pad,25.00,6,North,Home Office,7.00,0.00
ORD074,2023-08-10,Electronics,Gaming Headset,125.00,2,South,Consumer,35.00,0.10
ORD075,2023-08-12,Furniture,Coat Rack,58.00,3,East,Consumer,15.00,0.00
ORD076,2023-08-15,Electronics,Scanner,220.00,1,West,Corporate,58.00,0.10
ORD077,2023-08-18,Office Supplies,Pencil Holder,15.00,8,North,Home Office,4.00,0.00
ORD078,2023-08-20,Furniture,Ottoman,145.00,2,South,Consumer,38.00,0.05
ORD079,2023-08-23,Electronics,Fitness Tracker,180.00,2,East,Consumer,48.00,0.10
ORD080,2023-08-26,Office Supplies,Paper Clips,4.00,15,West,Home Office,1.20,0.00
ORD081,2023-09-01,Electronics,Laptop,1100.00,1,North,Corporate,280.00,0.10
ORD082,2023-09-04,Furniture,Corner Desk,520.00,1,South,Corporate,140.00,0.10
ORD083,2023-09-07,Office Supplies,Rubber Bands,3.00,20,East,Consumer,0.90,0.00
ORD084,2023-09-10,Electronics,Tablet,480.00,1,West,Home Office,125.00,0.10
ORD085,2023-09-12,Furniture,Folding Chair,85.00,5,North,Consumer,22.00,0.00
ORD086,2023-09-15,Electronics,Portable SSD,195.00,2,South,Corporate,52.00,0.05
ORD087,2023-09-18,Office Supplies,Index Cards,8.00,10,East,Home Office,2.40,0.00
ORD088,2023-09-20,Furniture,Plant Stand,48.00,3,West,Consumer,12.50,0.00
ORD089,2023-09-23,Electronics,Smart Doorbell,220.00,1,North,Consumer,58.00,0.10
ORD090,2023-09-26,Office Supplies,Stamp Pad,9.00,7,South,Home Office,2.50,0.00
ORD091,2023-10-02,Electronics,Desktop Computer,1850.00,1,East,Corporate,490.00,0.15
ORD092,2023-10-05,Furniture,Modular Sofa,1280.00,1,West,Consumer,340.00,0.20
ORD093,2023-10-08,Office Supplies,Shredder,145.00,1,North,Corporate,38.00,0.10
ORD094,2023-10-10,Electronics,Air Purifier,280.00,2,South,Home Office,75.00,0.10
ORD095,2023-10-12,Furniture,TV Stand,265.00,1,East,Consumer,70.00,0.05
ORD096,2023-10-15,Electronics,Gaming Console,480.00,1,West,Consumer,125.00,0.15
ORD097,2023-10-18,Office Supplies,File Folders,18.00,12,North,Home Office,5.00,0.00
ORD098,2023-10-20,Furniture,Bed Frame,680.00,1,South,Consumer,180.00,0.15
ORD099,2023-10-23,Electronics,Drone,850.00,1,East,Corporate,225.00,0.15
ORD100,2023-10-26,Office Supplies,Desk Calendar,22.00,6,West,Consumer,6.00,0.00
ORD002,2023-10-28,Furniture,Office Chair,250.00,2,South,Consumer,50.00,0.05
ORD101,2023-11-01,Electronics,Laptop,1200.00,1,North,Corporate,300.00,0.10
ORD102,2023-11-04,Office Supplies,NA,35.00,8,East,Consumer,9.50,0.00
ORD103,2023-11-07,Furniture,Conference Table,1600.00,1,West,Corporate,425.00,0.15
ORD104,2023-11-10,Electronics,Smartphone,820.00,1,South,Consumer,215.00,0.15
ORD105,2023-11-12,,Monitor Stand,65.00,3,North,Home Office,17.00,0.05
ORD106,2023-11-15,Office Supplies,Desk Set,48.00,4,East,Consumer,13.00,0.00
ORD107,2023-11-18,Furniture,Accent Chair,320.00,2,West,Consumer,85.00,0.10
ORD108,2023-11-20,Electronics,E-reader,145.00,2,South,Home Office,38.00,0.05
ORD109,2023-11-23,Office Supplies,Business Cards,55.00,5,North,Corporate,15.00,0.00
ORD110,2023-11-26,Electronics,,95.00,3,East,Consumer,25.00,0.05
ORD111,2023-12-01,Furniture,Bookcase,385.00,1,West,Corporate,102.00,0.10
ORD112,2023-12-04,Electronics,Smart Thermostat,185.00,2,South,Home Office,49.00,0.10
ORD113,2023-12-07,Office Supplies,Planner,28.00,7,North,Consumer,7.50,0.00
ORD114,2023-12-10,Electronics,Security Camera,240.00,2,East,Corporate,64.00,0.10
ORD115,2023-12-12,Furniture,Dining Table,950.00,1,West,Consumer,250.00,0.15
ORD116,2023-12-15,Office Supplies,Bulletin Board,42.00,4,South,Home Office,11.00,0.00
ORD117,2023-12-18,Electronics,Sound Bar,320.00,1,North,Consumer,85.00,0.10
ORD118,2023-12-20,Furniture,Nightstand,165.00,2,East,Consumer,43.00,0.05
ORD119,2023-12-23,Electronics,VR Headset,450.00,1,West,Corporate,120.00,0.15
ORD120,2023-12-26,Office Supplies,Document Holder,18.00,9,South,Home Office,5.00,0.00
